Tour,Tournament Year,Tournament Number,Permanent Tournament Number,Team ID, Team Number, Player Number,Player Name," Player Age (years, months,days)",Event Name,Official Event(Y/N),FedExCup Points,Money,Finish Position(numeric),Finish Position(text),Round 1 Score,Round 1 Pos,Round 2 Score,Round 2 Pos,Round 3 Score,Round 3 Pos,Round 4 Score,Round 4 Pos,Round 5 Score,Round 5 Pos,Round 6 Score,Round 6 Pos,Lowest Round,Total Strokes,Total Rounds),Stroke Average (Rank),Scoring Avg(Total Adjustment),Scoring Avg(Total Adjustment - Rank),Eagles,Eagles (Rank),Birdies,Birdies (Rank),Pars,Bogeys,Bogeys (Rank),Doubles,Others,Total Holes Over Par, Bogey Avoidance Rank,Birdie or Better Conv %(# Birdies),Birdie or Better Conv %(# Greens Hit),Longest Drive,Longest Drive (Rank),Driving Distance(Total Distance),Driving Distance(Total Drives),Driving Distance (Rank),Driving Dist. - All Drives(Tot. Dist.),Driving Dist. - All Drives(Rank),Drives Over 300 Yards (# of Drives),Driving Acc. %(Fairways Hit),Driving Acc. %(Possible Fairways),Driving Accuracy Rank,Total Driving (Rank),Left Rough Tendency(Total Left Rough),Right Rough Tendency(Total Right Rough),App.  50-75 yds(ft),App.  50-75 yds(attempts),App.  75-100 yds(ft),App.  75-100 yds(attempts),App.  100-125 yds(ft),App.  100-125 yds(attempts),App.  50-125 Yards(ft),App.  50-125 Yards(attempts),Approaches  125-150 Yards(ft),Approaches   125-150 Yards(attempts),Approaches   150-175 Yards(ft),Approaches   150-175 Yards(attempts),Approaches   175-200 Yards(ft),Approaches   175-200 Yards(attempts),Approaches   >200 Yards(ft),Approaches   >200 Yards(attempts),App.   50-75 yds(ft) - Rough,App.   50-75 yds(attempts) - Rough,App.   75-100 yds(ft) - Rough,App.   75-100 yds(attempts) - Rough,App.   100-125 yds(ft) - Rough,App.   100-125 yds(attempts) - Rough,Approaches   50-125 Yards(ft) - Rough,Approaches   50-125 Yards(attempts) - Rough,Approaches   125-150 Yards(ft) - Rough,Approaches   125-150 Yards(attempts) - Rough,Approaches   150-175 Yards(ft) - Rough,Approaches   150-175 Yards(attempts) - Rough,Approaches   175-200 Yards(ft) - Rough,Approaches   175-200 Yards(attempts) - Rough,Approaches   >200 Yards(ft) - Rough,Approaches   >200 Yards(attempts) - Rough,Total Holes Played,Total Greens in Regulation,GIR Rank,Total Distance(ft) Prox to Hole, # of Attempts Prox to Hole,Proximity to Hole (Rank),Fairway Prox(attempts),Fairway Prox(distance in ft),Fairway Prox (Rank),Rough Prox(attempts),Rough Prox(distance in ft),Rough Prox (Rank),Left Rough Prox(attempts),Left Rough Prox(distance in ft),Right Rough Prox(attempts),Right Rough Prox(distance in ft),Going for Green(attempts),Going for Green(non-attempts),Going for the Green(successes),Scrambling Par or Better,Scrambling Missed GIR,Scrambling (Rank),Scrambling Proximity (Total Distance),Scrambling Proximity (# of shots),Scrambling Proximity (rank),Scrambling from the Rough(successes),Scrambling from the Rough(attempts),Scrambling from the Fringe(successes),Scrambling from the Fringe(attempts),Scrambling   >30 Yards(successes), Scrambling   >30 Yards(attempts),Scrambling   20-30 Yards(successes), Scrambling   20-30 Yards(attempts),Scrambling   10-20 Yards(successes), Scrambling   10-20 Yards(attempts),Scrambling   < 10 Yards(successes), Scrambling   < 10 Yards(attempts),Sand Save %(# Saves),Sand Save %(# Bunkers),Sand Save (Rank),Prox to Hole from Sand(Total Distance), Prox to Hole from Sand(# of Shots),Total Hole Outs,Longest Hole Out(yards),Overall Putting Avg(# of Putts), Putting Avg(GIR Putts),One-Putt %(# of One Putts),3-Putt Avoid(Total 3 Putts),Approach Putt Performance(attempts),Approach Putt Performance(ft)),Avg Distance of Putts Made(Total Distance of Putts),Total Rounds Played,Putting   3'(attempts),Putting   3'(putts made),Putting   4'(attempts),Putting   4'(putts made),Putting   5'(attempts),Putting   5'(putts made),Putting   6'(attempts),Putting   6'(putts made),Putting   7'(attempts),Putting   7'(putts made),Putting   8'(attempts),Putting   8'(putts made),Putting   9'(attempts),Putting   9'(putts made),Putting   10'(attempts),Putting   10'(putts made),Putting Inside 5' (putts made),Putting Inside 5' (attempts),Putting Inside 5 Feet (Rank),Putting   5' - 10' (putts made),Putting   5' - 10' (attempts),Putting   5' - 10' (Rank),Putting   4'-8'(attempts),Putting   4'-8'(putts made),Putting   4' - 8' (Rank),Putting-Inside 10'(attempts),Putting-Inside 10'(putts made),Putting-Inside 10'(rank),Putting   10'-15'(attempts),Putting   10'-15'(putts made),Putting   10'-15'(rank),Putting   15-20'(attempts),Putting   15'-20'(putts made),Putting   15'-20'(rank),Putting   20'-25'(attempts),Putting   20'-25'(putts made),Putting   20'-25'(rank),Putting   >25'(attempts),Putting   >25'(putts made),Putting   >25'(rank),Putting   > 10' (putts made),Putting   > 10' (attempts),Putting   > 10' (rank),Total Putts Gained,Total Rounds Played(Putts Gained),Putts Gained Rank
R,2012,10,16,,0,22371,"Baddeley, Aaron",30 09 23,Hyundai Tournament of Champions,Y ,50,"80,000.00",21,21,75,23,68,10,74,21,69,21,0,0,0,0,68,286,4,21,10.222,21,1,5,18,15,41,10,23,2,,12,23,18,53,409,15,2208,8,7,18373,4,26,37,60,16,8,8,11,184.833,4,201.667,6,125.25,6,511.75,16,45.583,3,246.583,7,250,7,844.583,15,65,3,51,4,128.25,4,244.25,11,41.917,1,165.333,3,3.167,1,176,2,72,53,26,"2,874.08",72,13,48,"1,898.50",20,18,630.667,12,8,204.25,10,426.417,16,12,5,10,19,19,224.417,17,25,2,8,3,3,2,4,1,2,5,11,2,2,1,1,1,3.167,1,0,,121,95,25,4,46,125.75,3537,4,42,42,7,7,2,1,8,5,6,3,4,3,4,1,7,5,51,50,14,29,17,7,20,12,21,80,67,21,7,2,13,8,1,12,4,0,11,22,1,17,4,41,19,0.661,4,14
R,2012,10,16,,0,33141,"Bradley, Keegan",25 07 02,Hyundai Tournament of Champions,Y ,55,"105,000.00",16,16,69,6,72,7,75,19,65,16,0,0,0,0,65,281,4,16,10.222,16,2,1,16,20,46,7,13,1,,8,13,16,60,421,3,2232,8,5,18223,7,26,37,60,16,6,10,11,44.583,3,23,3,97.25,3,164.833,9,186.75,6,248,7,305.167,8,686.25,15,  ,,47.5,3,68.75,3,116.25,6,71.667,2,118.75,4,36.833,1,92.167,1,72,62,3,"2,826.75",71,12,45,"1,591.00",10,16,471.083,5,9,283.5,7,187.583,23,5,7,7,10,3,34.5,7,2,2,4,2,2,0,2,1,1,5,5,1,1,2,4,7,33.583,4,2,73,127,116,18,5,52,146.833,2852,4,43,43,9,9,8,6,5,2,6,5,2,1,3,1,3,1,60,58,16,19,10,13,21,14,12,79,68,16,10,0,27,8,1,12,6,0,11,24,1,21,2,48,27, 3.872-,4,22
R,2012,10,16,,0,1116,"Bradley, Michael",45 05 23,Hyundai Tournament of Champions,Y ,48.5,"74,500.00",22, T22,68,2,75,10,75,24,69,22,0,0,0,0,68,287,4,22,10.222,22,1,5,9,27,56,6,6,,,6,4,9,60,421,3,2153,8,14,17552,18,24,41,60,6,4,9,9,28.667,4,75,5,121.25,6,224.917,15,192.5,5,232.167,7,207.75,8,"1,168.08",17,19.25,2,76.667,4,160.25,3,256.167,9,33,2,224.75,4,99.917,1,55.25,1,72,60,10,"3,032.50",72,17,52,"2,025.42",16,17,669.083,20,9,356.5,8,312.583,15,13,5,6,12,20,171.25,12,26,3,6,1,2,0,2,3,6,2,3,1,1,0,1,17,19.75,1,0,,131,115,14,3,57,129.667,3298,4,45,45,8,6,8,6,5,3,7,5,2,0,3,0,1,0,61,57,26,18,8,19,22,14,17,79,65,24,13,3,15,9,1,16,9,0,11,21,2,10,6,52,16, 4.120-,4,23
R,2012,10,16,,0,24925,"Byrd, Jonathan",33 11 13,Hyundai Tournament of Champions,Y ,162.5,"369,000.00",3,  T3,67,1,71,4,67,2,68,3,0,0,0,0,67,273,4,3,10.222,3,1,5,23,4,42,6,6,,,6,4,24,62,395,69,2112,8,19,17534,20,22,42,60,5,10,10,8,29.083,1,236.667,10,191.417,10,457.167,21,109,3,130,5,222.25,5,"1,440.08",21,11.583,1,,,81.917,3,93.5,4,99.417,2,129.833,4,124.417,3,36.5,1,72,62,3,"3,089.33",72,18,55,"2,358.50",23,15,511.5,11,10,283.833,5,227.667,17,11,5,6,10,11,82.083,10,15,2,5,0,0,2,2,1,2,1,4,2,2,1,4,13,59.417,3,0,,120,106,27,3,45,124.167,4635,4,41,41,4,3,8,8,4,4,3,2,3,2,2,1,2,0,53,52,12,14,9,5,18,16,1,67,61,4,14,5,8,8,1,12,5,0,11,26,5,1,11,53,4,7.217,4,1
R,2012,10,16,,0,24357,"Choi, K.J.",41 07 21,Hyundai Tournament of Champions,Y ,105,"245,000.00",5,  T5,70,7,73,10,69,12,65,5,0,0,0,0,65,277,4,5,10.222,5,0,18,23,4,41,8,18,,,8,13,23,58,395,69,2095,8,23,17347,21,20,37,60,16,25,13,8,25,2,62.667,4,116.583,5,204.25,11,63.583,4,142.5,6,218.333,6,"1,084.50",20,  ,,27,3,290.667,7,317.667,10,180,6,22,1,83.667,1,154.5,2,72,58,18,"2,907.08",72,14,48,"1,732.92",11,20,757.833,17,14,576.417,6,181.417,16,12,6,9,14,9,89.75,14,7,4,6,0,0,1,2,3,5,4,6,1,1,1,1,1,4.333,1,0,,120,102,27,3,45,120.5,3154,4,41,41,12,12,6,6,4,2,1,1,2,0,4,3,6,3,59,59,1,17,9,12,13,9,9,76,68,7,7,2,13,11,1,22,5,1,4,21,0,24,4,44,21,  .213-,4,17
R,2012,10,16,,0,23541,"Crane, Ben",35 10 03,Hyundai Tournament of Champions,Y ,75,"165,000.00",9,  T9,72,10,71,10,68,8,68,9,0,0,0,0,68,279,4,9,10.222,9,1,5,24,3,37,8,18,1,1,10,19,25,57,388,102,2184,8,10,17625,15,20,39,60,13,8,10,8,115.917,3,194.333,5,120.5,4,430.75,12,243.833,7,168.583,5,265.083,7,"1,147.92",18,5.833,1,53.417,1,96.75,4,156,6,115.333,3,47.167,3,54.25,1,186.333,2,72,57,19,"3,275.92",72,24,51,"2,276.42",25,16,560.333,12,9,419,7,141.333,18,10,6,9,15,11,154.25,13,23,3,4,2,2,2,5,2,3,3,5,2,2,1,4,13,19.417,4,0,,119,98,30,5,42,124.667,4677,4,44,44,6,5,8,6,4,2,7,5,4,0,1,0,0,0,58,55,24,16,7,20,23,13,23,74,62,20,11,4,6,5,3,1,6,0,11,23,3,6,10,45,2,2.255,4,11
R,2012,10,16,,0,21805,"Frazar, Harrison",40 05 11,Hyundai Tournament of Champions,Y ,105,"245,000.00",5,  T5,74,20,69,10,66,7,68,5,0,0,0,0,66,277,4,5,10.222,5,1,5,19,9,46,6,6,,,6,4,20,59,408,17,2252,8,4,18296,5,31,37,60,16,4,13,7,75.25,4,156.833,6,183.583,8,415.667,18,45.083,2,162.917,6,108.5,4,"1,087.92",18,93,4,40.583,2,86.083,3,219.667,9,111.833,2,133.75,6,15.75,1,77.833,1,72,59,13,"2,584.67",71,5,48,"1,820.08",12,20,581,4,13,384.833,7,196.167,16,12,5,7,13,17,77.25,11,11,2,4,2,2,1,2,0,0,3,7,3,3,0,1,17,16.333,1,0,,120,102,26,2,46,123.917,4396,4,43,43,6,6,6,6,2,1,4,1,3,2,4,1,4,3,55,55,1,17,8,17,15,10,12,72,63,10,14,3,16,8,3,2,7,1,7,19,2,8,9,48,7,2.98,4,7
R,2012,10,16,,0,25900,"Glover, Lucas",32 01 28,Hyundai Tournament of Champions,Y ,0,,999, DNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,  ,,,,,,,,,,,,,,,,0,0,0,,0,  ,0,,,0,,,0,,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,  ,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,  ,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,
R,2012,10,16,,0,24924,"Haas, Bill",29 07 16,Hyundai Tournament of Champions,Y ,51,"84,000.00",20,20,73,14,73,24,70,19,69,20,0,0,0,0,69,285,4,20,10.222,20,0,18,14,23,51,7,13,,,7,9,14,63,400,39,2205,8,9,18026,9,23,45,60,1,1,4,9,114.833,3,88.25,4,179.25,11,382.333,18,183,6,208,6,313.75,7,"1,125.58",19,  ,,16.083,2,171,5,187.083,7,29,1,178.5,4,,,,,72,63,1,"3,138.67",72,21,56,"2,212.67",18,12,394.583,9,5,150.583,7,244,19,9,8,4,9,23,76.25,8,19,0,5,0,0,1,2,0,1,2,5,1,1,0,1,17,  ,0,0,,136,122,13,5,59,160.667,2931,4,51,51,5,5,5,5,5,4,2,2,3,1,3,0,3,1,61,61,1,16,8,15,15,12,4,77,69,6,15,1,26,6,0,25,5,0,11,33,2,13,3,59,26, 3.423-,4,21
R,2012,10,16,,0,21731,"Jacobson, Fredrik",37 03 14,Hyundai Tournament of Champions,Y ,0,,999, DNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,  ,,,,,,,,,,,,,,,,0,0,0,,0,  ,0,,,0,,,0,,0,,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,  ,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,  ,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,
